Gene Name,HNOX_1,HNOX_2,HNOX_3,WT_1,WT_2,WT_3
Pden_2659,0,0,0,0,0,0
Pden_2669,0,0,0,0,0,0
Pden_2671,0,0,0,0,0,0
Pden_2688,0,0,0,0,0,0
Pden_2689,0,0,0,0,0,0
Pden_2706,0,0,0,0,0,0
Pden_2711,0,0,0,0,0,0
Pden_2719,0,0,0,0,0,0
Pden_2721,0,0,0,0,0,0
Pden_2722,0,0,0,0,0,0
Pden_2725,0,0,0,0,0,0
Pden_2727,0,0,0,0,0,0
smc,0,0,0,0,0,0
Pden_2752,0,0,0,0,0,0
Pden_2758,0,0,0,0,0,0
Pden_2766,0,0,0,0,0,0
Pden_2769,0,0,0,0,0,0
Pden_2773,0,0,0,0,0,0
Pden_2774,0,0,0,0,0,0
Pden_2792,0,0,0,0,0,0
Pden_2796,0,0,0,0,0,0
Pden_2812,0,0,0,0,0,0
coaE,0,0,0,0,0,0
fdhE,0,0,0,0,0,0
Pden_2828,0,0,0,0,0,0
Pden_2831,0,0,0,0,0,0
Pden_2847,0,0,0,0,0,0
Pden_2849,0,0,0,0,0,0
Pden_2857,0,0,0,0,0,0
Pden_2859,0,0,0,0,0,0
Pden_2864,0,0,0,0,0,0
Pden_2865,0,0,0,0,0,0
Pden_2866,0,0,0,0,0,0
Pden_2869,0,0,0,0,0,0
bioD,0,0,0,0,0,0
bioA,0,0,0,0,0,0
Pden_2926,0,0,0,0,0,0
dld,0,0,0,0,0,0
Pden_2930,0,0,0,0,0,0
Pden_3445,0,0,0,0,0,0
Pden_2983,0,0,0,0,0,0
Pden_3016,0,0,0,0,0,0
Pden_3039,0,0,0,0,0,0
Pden_3047,0,0,0,0,0,0
Pden_3049,0,0,0,0,0,0
Pden_3071,0,0,0,0,0,0
Pden_3083,0,0,0,0,0,0
Pden_3092,0,0,0,0,0,0
Pden_3104,0,0,0,0,0,0
map,0,0,0,0,0,0
Pden_3157,0,0,0,0,0,0
Pden_3173,0,0,0,0,0,0
vapC,0,0,0,0,0,0
